Candidate_ID,Name,Course,Experience_Years,Primary_Skill,Certification,Score
TR126,Candidate_126,Data Science,1,Python,Cloud Practitioner,67
TR127,Candidate_127,Data Science,2,Statistics,AWS Associate,68
TR128,Candidate_128,Data Science,3,EDA,Google Cloud,69
TR129,Candidate_129,Data Science,4,Machine Learning,Azure Expert,70
TR130,Candidate_130,Data Science,5,Big Data,NPTEL,71
TR131,Candidate_131,Data Science,1,Data Modeling,CEH,72
TR132,Candidate_132,Data Science,2,Python,EC Council,73
TR133,Candidate_133,Data Science,3,Statistics,CISSP,74
TR134,Candidate_134,Data Science,4,EDA,Google Data,75
TR135,Candidate_135,Data Science,5,Machine Learning,DataCamp,76
TR136,Candidate_136,Data Science,1,Big Data,Spark Cert,77
TR137,Candidate_137,Data Science,2,Data Modeling,CCNA,78
TR138,Candidate_138,Data Science,3,Python,ITIL,79
TR139,Candidate_139,Data Science,4,Statistics,Web Basics,80
TR140,Candidate_140,Data Science,5,EDA,DevOps Expert,81
TR141,Candidate_141,Data Science,1,Machine Learning,AI Foundation,82
TR142,Candidate_142,Data Science,2,Big Data,Coursera ML,83
TR143,Candidate_143,Data Science,3,Data Modeling,Google AI,84
TR144,Candidate_144,Data Science,4,Python,IBM AI,85
TR145,Candidate_145,Data Science,5,Statistics,MLOps Cert,86
TR146,Candidate_146,Data Science,1,EDA,Cloud Practitioner,87
TR147,Candidate_147,Data Science,2,Machine Learning,AWS Associate,88
TR148,Candidate_148,Data Science,3,Big Data,Google Cloud,89
TR149,Candidate_149,Data Science,4,Data Modeling,Azure Expert,90
TR150,Candidate_150,Data Science,5,Python,NPTEL,91
TR151,Candidate_151,Information Technology,1,IT Support,CEH,92
TR152,Candidate_152,Information Technology,2,System Admin,EC Council,93
TR153,Candidate_153,Information Technology,3,Networking,CISSP,94
TR154,Candidate_154,Information Technology,4,IT Security,Google Data,95
TR155,Candidate_155,Information Technology,5,Cloud Support,DataCamp,65
TR156,Candidate_156,Information Technology,1,IT Support,Spark Cert,66
TR157,Candidate_157,Information Technology,2,System Admin,CCNA,67
TR158,Candidate_158,Information Technology,3,Networking,ITIL,68
TR159,Candidate_159,Information Technology,4,IT Security,Web Basics,69
TR160,Candidate_160,Information Technology,5,Cloud Support,DevOps Expert,70
TR161,Candidate_161,Information Technology,1,IT Support,AI Foundation,71
TR162,Candidate_162,Information Technology,2,System Admin,Coursera ML,72
TR163,Candidate_163,Information Technology,3,Networking,Google AI,73
TR164,Candidate_164,Information Technology,4,IT Security,IBM AI,74
TR165,Candidate_165,Information Technology,5,Cloud Support,MLOps Cert,75
TR166,Candidate_166,Information Technology,1,IT Support,Cloud Practitioner,76
TR167,Candidate_167,Information Technology,2,System Admin,AWS Associate,77
TR168,Candidate_168,Information Technology,3,Networking,Google Cloud,78
TR169,Candidate_169,Information Technology,4,IT Security,Azure Expert,79
TR170,Candidate_170,Information Technology,5,Cloud Support,NPTEL,80
TR171,Candidate_171,Information Technology,1,IT Support,CEH,81
TR172,Candidate_172,Information Technology,2,System Admin,EC Council,82
TR173,Candidate_173,Information Technology,3,Networking,CISSP,83
TR174,Candidate_174,Information Technology,4,IT Security,Google Data,84
TR175,Candidate_175,Information Technology,5,Cloud Support,DataCamp,85
TR176,Candidate_176,Software Engineering,1,HTML CSS,Spark Cert,86
TR177,Candidate_177,Software Engineering,2,JavaScript,CCNA,87
TR178,Candidate_178,Software Engineering,3,Backend Development,ITIL,88
TR179,Candidate_179,Software Engineering,4,Microservices,Web Basics,89
TR180,Candidate_180,Software Engineering,5,DevOps,DevOps Expert,90
TR181,Candidate_181,Software Engineering,1,System Architecture,AI Foundation,91
TR182,Candidate_182,Software Engineering,2,HTML CSS,Coursera ML,92
TR183,Candidate_183,Software Engineering,3,JavaScript,Google AI,93
TR184,Candidate_184,Software Engineering,4,Backend Development,IBM AI,94
TR185,Candidate_185,Software Engineering,5,Microservices,MLOps Cert,95
TR186,Candidate_186,Software Engineering,1,DevOps,Cloud Practitioner,65
TR187,Candidate_187,Software Engineering,2,System Architecture,AWS Associate,66
TR188,Candidate_188,Software Engineering,3,HTML CSS,Google Cloud,67
TR189,Candidate_189,Software Engineering,4,JavaScript,Azure Expert,68
TR190,Candidate_190,Software Engineering,5,Backend Development,NPTEL,69
TR191,Candidate_191,Software Engineering,1,Microservices,CEH,70
TR192,Candidate_192,Software Engineering,2,DevOps,EC Council,71
TR193,Candidate_193,Software Engineering,3,System Architecture,CISSP,72
TR194,Candidate_194,Software Engineering,4,HTML CSS,Google Data,73
TR195,Candidate_195,Software Engineering,5,JavaScript,DataCamp,74
TR196,Candidate_196,Software Engineering,1,Backend Development,Spark Cert,75
TR197,Candidate_197,Software Engineering,2,Microservices,CCNA,76
TR198,Candidate_198,Software Engineering,3,DevOps,ITIL,77
TR199,Candidate_199,Software Engineering,4,System Architecture,Web Basics,78
TR200,Candidate_200,Software Engineering,5,HTML CSS,DevOps Expert,79
